datetime_start,TIMESTAMP_START,TIMESTAMP_END,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,FC_SSITC_TEST,LE,LE_SSITC_TEST,ET,ET_SSITC_TEST,H,H_SSITC_TEST,G,SG,FETCH_MAX,FETCH_90,FETCH_55,FETCH_40,WD,WS,WS_MAX,USTAR,ZL,TAU,TAU_SSITC_TEST,MO_LENGTH,U,U_SIGMA,V,V_SIGMA,W,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,T_DP_1_1_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,SWC_1_1_1,ALB,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,P,file_no,TA_1_2_1,RH_1_2_1,T_DP_1_2_1,TA_1_3_1,RH_1_3_1,T_DP_1_3_1,TA_1_4_1,PBLH_F,TS_2_1_1,SWC_2_1_1
2024-06-24 14:30:00,202406241430,202406241500,427.0199,0.6281331,17.26862,1.01929,0.0692101,-9999.0,156.4085,-9999.0,0.2317847,1,68.15252,-9999.0,74.8003,46.48377,20.10258,55.5867,28.58118,21.63193,83.82242,4.118659,11.398,0.2854266,-0.1000675,-0.07743155,-9999.0,-21.72663,3.943613,1.289412,0.0,1.243537,0.0,0.5457488,83.32956,30.37961,32.53116,12.07391,28.36929,31.6011,0.7804169,22.91248,-9999.0,30.47296,535.9557,901.6483,279.5316,404.7657,490.9268,0.0,2.0,29.95141,33.26877,12.0526,30.32464,33.45364,12.46181,30.06976,1665.467,25.72815,22.44161
2024-06-24 15:00:00,202406241500,202406241530,425.9499,1.019297,15.18936,0.7030515,0.2854458,-9999.0,138.3092,-9999.0,0.20497,1,43.44571,-9999.0,-11.26564,-34.50821,19.01147,52.56938,27.02798,20.45655,84.50763,3.128728,8.11528,0.2287946,-0.130162,-0.04976684,-9999.0,-16.70326,2.949647,1.087555,0.0,1.085609,3.72529e-09,0.4690718,83.3021,30.43124,28.59812,10.17519,30.22208,31.47819,0.6128186,22.98583,-9999.0,31.01464,404.8066,711.1035,227.3555,407.2817,486.2231,0.0,2.0,30.02516,29.22197,10.15524,30.35956,29.77183,10.72635,30.13765,1765.935,25.52736,22.41975
2024-06-24 15:30:00,202406241530,202406241600,426.4163,1.965228,14.87533,0.8080265,1.081928,-9999.0,154.1153,-9999.0,0.2284687,2,30.66234,-9999.0,-41.83331,-63.57699,24.54221,67.84465,34.89815,26.41252,98.6839,2.669845,6.715653,0.2784614,-0.05601415,-0.07362495,1.0,-38.81393,2.517204,0.9474617,0.0,0.9015959,3.72529e-09,0.4148929,83.27771,30.85518,27.38244,9.86806,31.03824,31.67058,0.7545337,23.08474,-9999.0,29.70208,292.8351,546.4703,175.4796,408.3091,486.4648,0.0,2.0,30.24634,28.28498,9.838229,30.69433,28.63222,10.41335,30.40344,1495.735,25.12511,22.32785
2024-06-24 16:00:00,202406241600,202406241630,426.0534,2.665907,15.6114,1.002919,0.5196642,-9999.0,135.5618,-9999.0,0.2010524,2,35.2179,-9999.0,-35.91724,-55.3435,25.22658,69.73144,35.87147,27.14916,99.19427,2.552504,7.758736,0.307955,-0.04485384,-0.08986875,-9999.0,-48.47143,2.415924,0.9642583,0.0,0.8306037,7.450581e-09,0.4433303,83.25893,31.35262,27.86196,10.56774,31.70765,32.24849,0.7409122,23.06612,-9999.0,31.21184,331.988,619.2519,209.6434,410.9713,488.5918,0.0,2.0,30.75179,28.75255,10.53822,31.14621,29.16225,11.09066,30.90061,1491.062,24.63557,22.18172
2024-06-24 16:30:00,202406241630,202406241700,427.8476,1.102921,15.21034,0.7030841,1.147608,-9999.0,95.06287,-9999.0,0.1407727,2,-13.31553,-9999.0,-56.61974,-71.7462,26.52178,74.34869,37.88823,28.65891,115.6484,1.786293,6.475121,0.3013755,0.007892104,-0.08651999,-9999.0,275.4816,1.65628,0.8001992,0.0,0.6585423,-9.313226e-10,0.4075378,83.24686,29.68962,29.8947,10.19186,28.14444,30.6135,0.5463738,22.7616,-9999.0,28.93153,79.40314,209.7798,67.09201,404.4651,467.7497,0.0,2.0,29.16274,30.77158,10.16581,29.57434,30.96792,10.63069,29.3051,341.9711,24.14865,22.03216
2024-06-24 17:00:00,202406241700,202406241730,428.33,6.572109,16.54654,2.041406,-1.381561,-9999.0,-42.83923,-9999.0,-0.06336986,2,26.27766,-9999.0,-12.2822,-23.98856,5.249592,59.87401,15.28423,9.742279,102.5917,1.548822,3.920408,0.1901375,-0.1021485,-0.03453988,-9999.0,-21.28401,0.8617896,0.9641014,0.0,1.086451,0.0,0.2084512,83.22665,28.62477,34.64428,11.36517,24.67659,29.65708,1.003718,22.63253,-9999.0,35.08242,51.14958,130.0894,46.41409,423.8345,456.3603,0.3,2.0,28.09001,35.92634,11.33781,28.47014,35.75212,11.70994,28.1377,1674.32,23.69329,21.87802
2024-06-24 17:30:00,202406241730,202406241800,427.7932,6.454175,20.34513,2.671367,2.386976,-9999.0,136.2227,-9999.0,0.2005665,1,-62.47126,-9999.0,-57.45636,-66.19707,4.652082,159.4704,20.32873,12.9699,135.6321,1.293139,5.258837,0.1925402,0.2247941,-0.03592073,-9999.0,9.671649,0.950618,0.9022778,0.0,0.8092141,-3.72529e-09,0.2408313,83.16689,23.7755,56.33643,14.39972,12.93766,25.59983,1.278149,22.75583,-9999.0,44.61852,57.36642,129.7921,57.05796,413.6014,428.9691,0.5,2.0,23.6981,57.16447,14.39485,23.64384,57.48349,14.60717,23.48378,119.2083,23.40187,21.81128
2024-06-24 18:00:00,202406241800,202406241830,432.7123,5.047278,20.66836,1.723334,1.956316,-9999.0,92.40288,-9999.0,0.1362171,2,-36.99361,-9999.0,-64.33329,-72.33385,16.71037,758.9633,80.49268,47.58712,20.84143,1.308079,3.763796,0.1176727,0.5693107,-0.01335513,-9999.0,3.818881,1.186484,0.6160132,0.0,0.5603793,7.450581e-09,0.1566426,83.15463,25.17821,52.52443,14.71548,14.82919,26.84534,0.8059915,22.39211,-9999.0,41.49896,27.86933,87.4913,36.4474,407.3908,430.5654,0.0,2.0,24.90817,53.52498,14.70109,24.92166,54.19778,14.97946,24.8205,112.8466,22.88504,21.72215
2024-06-24 18:30:00,202406241830,202406241900,447.0112,11.37226,21.67374,2.186914,8.267726,-9999.0,28.41886,-9999.0,0.04187578,2,-27.13558,-9999.0,-60.95217,-67.4664,9.681965,320.6772,41.24425,25.66463,283.823,1.640077,3.977817,0.1858124,0.1175216,-0.03335472,-9999.0,18.49983,1.380239,0.8316314,0.0,0.8109083,3.72529e-09,0.173827,83.17904,24.79147,56.56719,15.43024,12.90942,26.30697,1.190115,22.06366,-9999.0,38.6466,9.932296,48.04008,18.51685,411.7301,431.321,0.0,2.0,24.28154,58.54897,15.403,24.47037,57.14799,15.31284,24.26049,128.8042,22.47634,21.64236
2024-06-24 19:00:00,202406241900,202406241930,456.1723,7.283132,24.1811,1.136384,2.456236,-9999.0,32.33941,-9999.0,0.04761923,2,-9.663497,-9999.0,-28.30433,-33.76918,0.9694201,21.95634,6.101881,2.613614,333.5165,1.019029,2.641203,0.1666998,0.04895516,-0.02689443,-9999.0,44.41064,0.3404017,0.7456641,0.0,0.7531455,-9.313226e-10,0.09286101,83.20167,23.90694,66.06863,17.15481,9.793026,25.95675,0.4537285,21.85217,-9999.0,42.993,9.620022,52.9158,23.38911,412.1317,432.0384,0.0,2.0,23.70363,66.89954,17.1439,23.74225,66.15405,17.02971,23.64262,156.9681,22.17283,21.57548
